Gap_ID,Entity_Type,Entity_ID,As_Of
GAP-OBL-EUAIACT-01-CTL-TD-1,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,System,SYS-LAKE,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-1,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,System,SYS-LAKE,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,System,SYS-REGRPT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,BusinessProcess,PR-TRADING,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,Product,PRD-DERIV,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,Product,PRD-FX,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,DataDomain,DD-FIN,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,DataDomain,DD-TRADE,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,System,SYS-REGRPT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,System,SYS-GL,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,BusinessProcess,PR-TRADING,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,Product,PRD-DERIV,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,Product,PRD-FX,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,DataDomain,DD-FIN,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,DataDomain,DD-TRADE,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,System,SYS-LAKE,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,System,SYS-LAKE,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,System,SYS-CREDIT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,System,SYS-AIP,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,Product,PRD-BLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,Product,PRD-MORT,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,Product,PRD-PLOAN,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,System,SYS-LAKE,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-01-CTL-AI-3,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-1,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,System,SYS-CREDIT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-2,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-02-CTL-MR-3,DataDomain,DD-CREDIT,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,System,SYS-LAKE,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-1,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,System,SYS-AIP,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,Product,PRD-MORT,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-NISTAIRMF-03-CTL-TR-2,DataDomain,DD-MODEL,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,System,SYS-CORE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,System,SYS-PAY,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,BusinessProcess,PR-ONBOARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,BusinessProcess,PR-PAYMENTS,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,BusinessProcess,PR-SERVICE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-BLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-CARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-CURR,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-MORT,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-PLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,Product,PRD-SAV,2026-06-25
GAP-OBL-DORA-01-CTL-OR-1,DataDomain,DD-REF,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,System,SYS-CORE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,BusinessProcess,PR-ONBOARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,BusinessProcess,PR-PAYMENTS,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,BusinessProcess,PR-SERVICE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-BLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-CARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-CURR,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-MORT,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-PLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,Product,PRD-SAV,2026-06-25
GAP-OBL-DORA-01-CTL-OR-2,DataDomain,DD-REF,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,System,SYS-LAKE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,System,SYS-CORE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-ONBOARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-PAYMENTS,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-LENDING,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-SERVICE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,BusinessProcess,PR-AILIFE,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-BLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-CARD,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-CURR,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-MORT,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-PLOAN,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,Product,PRD-SAV,2026-06-25
GAP-OBL-DORA-01-CTL-OR-3,DataDomain,DD-REF,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,System,SYS-IAM,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,System,SYS-LAKE,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,BusinessProcess,PR-ONBOARD,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,BusinessProcess,PR-REGRPT,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,BusinessProcess,PR-SERVICE,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,BusinessProcess,PR-DATAGOV,2026-06-25
GAP-OBL-DORA-02-CTL-IC-1,BusinessProcess,PR-AILIFE,2026-06-25
