ID,Name,Domain,As_Of
CAP-DG,Data Governance,Data,2026-06-25
CAP-LIN,Data Lineage,Data,2026-06-25
CAP-DQ,Data Quality,Data,2026-06-25
CAP-MDM,Metadata & Catalog,Data,2026-06-25
CAP-PII,PII Protection,Privacy,2026-06-25
CAP-RET,Data Retention,Data,2026-06-25
CAP-AC,Access Control,Security,2026-06-25
CAP-AUD,Auditability & Evidence,Governance,2026-06-25
CAP-REP,Regulatory Reporting,Finance,2026-06-25
CAP-MRM,Model Risk Management,AI,2026-06-25
CAP-AIG,AI Governance,AI,2026-06-25
CAP-TDQ,Training Data Quality,AI,2026-06-25
CAP-TRACE,Traceability & Explainability,AI,2026-06-25
CAP-RES,Operational Resilience,Resilience,2026-06-25
CAP-INC,Incident Management,Resilience,2026-06-25
CAP-TPR,Third-Party / ICT Dependency,Resilience,2026-06-25
CAP-CYBER,Cyber Security,Security,2026-06-25
CAP-FC,Financial Crime Detection,FinCrime,2026-06-25
CAP-SANCT,Sanctions Screening,FinCrime,2026-06-25
CAP-AUTH,Strong Authentication,Security,2026-06-25
CAP-CAPITAL,Capital & RWA,Prudential,2026-06-25
CAP-COND,Conduct & Fair Value,Conduct,2026-06-25
