ID,Regulation_ID,Title,Reference,Summary,Change_Type,Published_Date,Effective_Date,Criticality,As_Of
CHG-EUAIACT,REG-AIACT,EUAIACT regulatory update,EUAIACT 2026 amendment,Incoming update to EU AI Act affecting ai governance obligations.,New,2026-04-19,2027-10-18,Critical,2026-06-25
CHG-NISTAIRMF,REG-NIST,NISTAIRMF regulatory update,NISTAIRMF 2026 amendment,Incoming update to NIST AI Risk Management Framework affecting ai governance obligations.,Clarification,2026-03-28,2027-10-26,High,2026-06-25
CHG-DORA,REG-DORA,DORA regulatory update,DORA 2026 amendment,Incoming update to Digital Operational Resilience Act affecting operational resilience obligations.,Amendment,2026-06-05,2027-07-26,Critical,2026-06-25
CHG-BASEL,REG-BASEL,BASEL regulatory update,BASEL 2026 amendment,Incoming update to Basel III/IV Capital Framework (CRR) affecting prudential obligations.,New,2026-04-04,2026-10-02,Critical,2026-06-25
CHG-BCBS239,REG-BCBS239,BCBS239 regulatory update,BCBS239 2026 amendment,Incoming update to BCBS 239 Risk Data Aggregation affecting risk data obligations.,Amendment,2026-04-20,2027-12-16,High,2026-06-25
CHG-GDPR,REG-GDPR,GDPR regulatory update,GDPR 2026 amendment,Incoming update to General Data Protection Regulation affecting data privacy obligations.,New,2026-05-06,2026-10-22,Critical,2026-06-25
CHG-PSD2,REG-PSD2,PSD2 regulatory update,PSD2 2026 amendment,Incoming update to Payment Services Directive 2 affecting payments obligations.,New,2026-03-25,2026-11-02,Critical,2026-06-25
CHG-CONSDUTY,REG-CONSDUTY,CONSDUTY regulatory update,CONSDUTY 2026 amendment,Incoming update to FCA Consumer Duty affecting conduct obligations.,New,2026-03-04,2027-05-29,High,2026-06-25
CHG-FCAOPRES,REG-FCAOPRES,FCAOPRES regulatory update,FCAOPRES 2026 amendment,Incoming update to FCA Operational Resilience affecting operational resilience obligations.,New,2026-02-28,2027-06-22,High,2026-06-25
CHG-SEC,REG-SEC,SEC regulatory update,SEC 2026 amendment,Incoming update to SEC Cybersecurity Disclosure affecting cyber disclosure obligations.,Amendment,2026-05-20,2027-08-26,Critical,2026-06-25
CHG-OCC,REG-OCC,OCC regulatory update,OCC 2026 amendment,Incoming update to OCC Heightened Standards affecting risk governance obligations.,Amendment,2026-03-27,2026-12-16,High,2026-06-25
CHG-MASTRM,REG-MAS,MASTRM regulatory update,MASTRM 2026 amendment,Incoming update to MAS Technology Risk Management affecting technology risk obligations.,Clarification,2026-03-30,2027-12-13,High,2026-06-25
CHG-AMLD,REG-AMLD,AMLD regulatory update,AMLD 2026 amendment,Incoming update to Anti-Money Laundering Directive affecting financial crime obligations.,Clarification,2026-04-12,2027-01-09,Critical,2026-06-25
