ID,Control_ID,Evidence_Type,Name,Status,Technology_ID,As_Of
EVD-CTL-CDD-1-EV-AUDIT,CTL-CDD-1,EV-AUDIT,Fabric Audit Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-CDD-1-EV-CLASS,CTL-CDD-1,EV-CLASS,Data Classification Report,Stale,TEC-PURVIEW,2026-07-21
EVD-CTL-CDD-2-EV-AUDIT,CTL-CDD-2,EV-AUDIT,Fabric Audit Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-CDD-2-EV-CLASS,CTL-CDD-2,EV-CLASS,Data Classification Report,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-CDD-3-EV-AUDIT,CTL-CDD-3,EV-AUDIT,Fabric Audit Log,Stale,TEC-FABRIC,2026-07-21
EVD-CTL-CDD-3-EV-CLASS,CTL-CDD-3,EV-CLASS,Data Classification Report,Present,TEC-PURVIEW,2026-07-21
EVD-CTL-SAN-1-EV-AUDIT,CTL-SAN-1,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-SAN-2-EV-AUDIT,CTL-SAN-2,EV-AUDIT,Fabric Audit Log,Stale,TEC-FABRIC,2026-07-21
EVD-CTL-TM-1-EV-SAR,CTL-TM-1,EV-SAR,SAR Filing Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-TM-1-EV-AUDIT,CTL-TM-1,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-TM-2-EV-SAR,CTL-TM-2,EV-SAR,SAR Filing Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-TM-2-EV-AUDIT,CTL-TM-2,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-TM-3-EV-SAR,CTL-TM-3,EV-SAR,SAR Filing Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-TM-3-EV-AUDIT,CTL-TM-3,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-OR-1-EV-BCP,CTL-OR-1,EV-BCP,Resilience Test Report,Partial,TEC-SERVICENOW,2026-07-21
EVD-CTL-OR-2-EV-BCP,CTL-OR-2,EV-BCP,Resilience Test Report,Missing,TEC-SERVICENOW,2026-07-21
EVD-CTL-OR-3-EV-BCP,CTL-OR-3,EV-BCP,Resilience Test Report,Missing,TEC-SERVICENOW,2026-07-21
EVD-CTL-IC-1-EV-INCIDENT,CTL-IC-1,EV-INCIDENT,Incident Register,Partial,TEC-SERVICENOW,2026-07-21
EVD-CTL-IC-1-EV-DLP,CTL-IC-1,EV-DLP,DLP Policy Attestation,Missing,TEC-DEFENDER,2026-07-21
EVD-CTL-IC-2-EV-INCIDENT,CTL-IC-2,EV-INCIDENT,Incident Register,Missing,TEC-SERVICENOW,2026-07-21
EVD-CTL-IC-2-EV-DLP,CTL-IC-2,EV-DLP,DLP Policy Attestation,Missing,TEC-DEFENDER,2026-07-21
EVD-CTL-IC-3-EV-INCIDENT,CTL-IC-3,EV-INCIDENT,Incident Register,Stale,TEC-SERVICENOW,2026-07-21
EVD-CTL-IC-3-EV-DLP,CTL-IC-3,EV-DLP,DLP Policy Attestation,Partial,TEC-DEFENDER,2026-07-21
EVD-CTL-TP-1-EV-AUDIT,CTL-TP-1,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-TP-2-EV-AUDIT,CTL-TP-2,EV-AUDIT,Fabric Audit Log,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-CY-1-EV-DLP,CTL-CY-1,EV-DLP,DLP Policy Attestation,Partial,TEC-DEFENDER,2026-07-21
EVD-CTL-CY-1-EV-ACCESS,CTL-CY-1,EV-ACCESS,Access Review,Missing,TEC-ENTRA,2026-07-21
EVD-CTL-CY-2-EV-DLP,CTL-CY-2,EV-DLP,DLP Policy Attestation,Missing,TEC-DEFENDER,2026-07-21
EVD-CTL-CY-2-EV-ACCESS,CTL-CY-2,EV-ACCESS,Access Review,Stale,TEC-ENTRA,2026-07-21
EVD-CTL-AC-1-EV-ACCESS,CTL-AC-1,EV-ACCESS,Access Review,Present,TEC-ENTRA,2026-07-21
EVD-CTL-AC-2-EV-ACCESS,CTL-AC-2,EV-ACCESS,Access Review,Missing,TEC-ENTRA,2026-07-21
EVD-CTL-CAP-1-EV-CAPREC,CTL-CAP-1,EV-CAPREC,Capital Calc Reconciliation,Present,TEC-FABRIC,2026-07-21
EVD-CTL-CAP-1-EV-AUDIT,CTL-CAP-1,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-CAP-2-EV-CAPREC,CTL-CAP-2,EV-CAPREC,Capital Calc Reconciliation,Present,TEC-FABRIC,2026-07-21
EVD-CTL-CAP-2-EV-AUDIT,CTL-CAP-2,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-DQ-1-EV-DQ,CTL-DQ-1,EV-DQ,Data Quality Dashboard,Partial,TEC-FABRIC,2026-07-21
EVD-CTL-DQ-1-EV-CLASS,CTL-DQ-1,EV-CLASS,Data Classification Report,Stale,TEC-PURVIEW,2026-07-21
EVD-CTL-DQ-2-EV-DQ,CTL-DQ-2,EV-DQ,Data Quality Dashboard,Stale,TEC-FABRIC,2026-07-21
EVD-CTL-DQ-2-EV-CLASS,CTL-DQ-2,EV-CLASS,Data Classification Report,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-LIN-1-EV-LINEAGE,CTL-LIN-1,EV-LINEAGE,Purview Lineage Graph,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-LIN-1-EV-AUDIT,CTL-LIN-1,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-LIN-2-EV-LINEAGE,CTL-LIN-2,EV-LINEAGE,Purview Lineage Graph,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-LIN-2-EV-AUDIT,CTL-LIN-2,EV-AUDIT,Fabric Audit Log,Missing,TEC-FABRIC,2026-07-21
EVD-CTL-MD-1-EV-CLASS,CTL-MD-1,EV-CLASS,Data Classification Report,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-MD-1-EV-LINEAGE,CTL-MD-1,EV-LINEAGE,Purview Lineage Graph,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-MD-2-EV-CLASS,CTL-MD-2,EV-CLASS,Data Classification Report,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-MD-2-EV-LINEAGE,CTL-MD-2,EV-LINEAGE,Purview Lineage Graph,Missing,TEC-PURVIEW,2026-07-21
EVD-CTL-RT-1-EV-RETENTION,CTL-RT-1,EV-RETENTION,Retention Policy Attestation,Present,TEC-PURVIEW,2026-07-21
EVD-CTL-PR-1-EV-CLASS,CTL-PR-1,EV-CLASS,Data Classification Report,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-PR-1-EV-DLP,CTL-PR-1,EV-DLP,DLP Policy Attestation,Present,TEC-DEFENDER,2026-07-21
EVD-CTL-PR-2-EV-CLASS,CTL-PR-2,EV-CLASS,Data Classification Report,Partial,TEC-PURVIEW,2026-07-21
EVD-CTL-PR-2-EV-DLP,CTL-PR-2,EV-DLP,DLP Policy Attestation,Stale,TEC-DEFENDER,2026-07-21
EVD-CTL-PR-3-EV-CLASS,CTL-PR-3,EV-CLASS,Data Classification Report,Present,TEC-PURVIEW,2026-07-21
EVD-CTL-PR-3-EV-DLP,CTL-PR-3,EV-DLP,DLP Policy Attestation,Present,TEC-DEFENDER,2026-07-21
EVD-CTL-SCA-1-EV-ACCESS,CTL-SCA-1,EV-ACCESS,Access Review,Present,TEC-ENTRA,2026-07-21
EVD-CTL-SCA-1-EV-AUDIT,CTL-SCA-1,EV-AUDIT,Fabric Audit Log,Present,TEC-FABRIC,2026-07-21
EVD-CTL-SCA-2-EV-ACCESS,CTL-SCA-2,EV-ACCESS,Access Review,Missing,TEC-ENTRA,2026-07-21
