ID,Name,Vendor,Category,Is_Microsoft,As_Of
TEC-FABRIC,Microsoft Fabric,Microsoft,Analytics,True,2026-06-25
TEC-ONELAKE,OneLake,Microsoft,Storage,True,2026-06-25
TEC-PURVIEW,Microsoft Purview,Microsoft,Governance,True,2026-06-25
TEC-FOUNDRY,Azure AI Foundry,Microsoft,AI,True,2026-06-25
TEC-POLICY,Azure Policy,Microsoft,Policy,True,2026-06-25
TEC-ENTRA,Microsoft Entra ID,Microsoft,Identity,True,2026-06-25
TEC-DEFENDER,Microsoft Defender/Sentinel,Microsoft,Security,True,2026-06-25
TEC-DATABRICKS,Databricks,Databricks,Analytics,False,2026-06-25
TEC-SNOWFLAKE,Snowflake,Snowflake,Storage,False,2026-06-25
TEC-INFORMATICA,Informatica,Informatica,Data Mgmt,False,2026-06-25
TEC-SERVICENOW,ServiceNow,ServiceNow,Workflow,False,2026-06-25
TEC-COLLIBRA,Collibra,Collibra,Governance,False,2026-06-25
