Score_Key,Change_ID,Scope_Type,Scope_ID,Scope_Name,Scenario,Score,Status,As_Of
Overall|BANK|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Overall,BANK,Enterprise,AsIs,54.3,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Overall,BANK,Enterprise,PostRemediation,60.1,Partially Compliant,2026-06-25
Regulation|REG-AIACT|PostChange|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Regulation,REG-AIACT,REG-AIACT,PostChange,38.3,Non-Compliant,2026-06-25
Regulation|REG-AIACT|PostRemediation|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Regulation,REG-AIACT,REG-AIACT,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
Capability|CAP-TRACE|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-TRACE,Traceability & Explainability,AsIs,8.8,Non-Compliant,2026-06-25
Capability|CAP-AUD|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-AUD,Auditability & Evidence,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-REP|AsIs|CHG-EUAIACT|2026-06-25,CHG-EUAIACT,Capability,CAP-REP,Regulatory Reporting,AsIs,83.8,Compliant,2026-06-25
Overall|BANK|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Overall,BANK,Enterprise,AsIs,52.9,Partially Compliant,2026-06-25
Overall|BANK|PostChange|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Overall,BANK,Enterprise,PostChange,52.2,Partially Compliant,2026-06-25
Overall|BANK|PostRemediation|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Overall,BANK,Enterprise,PostRemediation,55.7,Partially Compliant,2026-06-25
Regulation|REG-NIST|PostChange|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Regulation,REG-NIST,REG-NIST,PostChange,41.5,Non-Compliant,2026-06-25
Regulation|REG-NIST|PostRemediation|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Regulation,REG-NIST,REG-NIST,PostRemediation,100.0,Compliant,2026-06-25
Capability|CAP-FC|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-FC,Financial Crime Detection,AsIs,52.8,Partially Compliant,2026-06-25
Capability|CAP-SANCT|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-SANCT,Sanctions Screening,AsIs,52.7,Partially Compliant,2026-06-25
Capability|CAP-RES|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-RES,Operational Resilience,AsIs,33.2,Non-Compliant,2026-06-25
Capability|CAP-INC|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-INC,Incident Management,AsIs,36.2,Non-Compliant,2026-06-25
Capability|CAP-TPR|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-TPR,Third-Party / ICT Dependency,AsIs,32.2,Non-Compliant,2026-06-25
Capability|CAP-CYBER|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-CYBER,Cyber Security,AsIs,42.5,Non-Compliant,2026-06-25
Capability|CAP-AC|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-AC,Access Control,AsIs,58.8,Partially Compliant,2026-06-25
Capability|CAP-CAPITAL|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-CAPITAL,Capital & RWA,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-DQ|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-DQ,Data Quality,AsIs,41.2,Non-Compliant,2026-06-25
Capability|CAP-LIN|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-LIN,Data Lineage,AsIs,26.2,Non-Compliant,2026-06-25
Capability|CAP-MDM|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-MDM,Metadata & Catalog,AsIs,3.0,Non-Compliant,2026-06-25
Capability|CAP-RET|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-RET,Data Retention,AsIs,100.0,Compliant,2026-06-25
Capability|CAP-PII|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-PII,PII Protection,AsIs,62.8,Partially Compliant,2026-06-25
Capability|CAP-AUTH|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-AUTH,Strong Authentication,AsIs,50.0,Partially Compliant,2026-06-25
Capability|CAP-COND|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-COND,Conduct & Fair Value,AsIs,82.3,Compliant,2026-06-25
Capability|CAP-MRM|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-MRM,Model Risk Management,AsIs,47.0,Non-Compliant,2026-06-25
Capability|CAP-AIG|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-AIG,AI Governance,AsIs,55.8,Partially Compliant,2026-06-25
Capability|CAP-TDQ|AsIs|CHG-NISTAIRMF|2026-06-25,CHG-NISTAIRMF,Capability,CAP-TDQ,Training Data Quality,AsIs,45.5,Non-Compliant,2026-06-25
