Gap_ID,Change_ID,Obligation_ID,Control_ID,Capability_ID,Severity,Maturity_Shortfall,Is_Evidence_Gap,Affected_Systems,Affected_Processes,Affected_Products,Affected_Data_Domains,As_Of
GAP-OBL-EUAIACT-01-CTL-TD-1,CHG-EUAIACT,OBL-EUAIACT-01,CTL-TD-1,CAP-TDQ,High,2,False,2,4,3,2,2026-06-25
GAP-OBL-EUAIACT-01-CTL-TD-2,CHG-EUAIACT,OBL-EUAIACT-01,CTL-TD-2,CAP-TDQ,High,2,False,1,2,3,2,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-1,CHG-EUAIACT,OBL-EUAIACT-02,CTL-LIN-1,CAP-LIN,Medium,2,False,2,4,4,3,2026-06-25
GAP-OBL-EUAIACT-02-CTL-LIN-2,CHG-EUAIACT,OBL-EUAIACT-02,CTL-LIN-2,CAP-LIN,High,3,False,2,2,2,3,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-1,CHG-EUAIACT,OBL-EUAIACT-03,CTL-TR-1,CAP-TRACE,Critical,4,False,2,4,3,1,2026-06-25
GAP-OBL-EUAIACT-03-CTL-TR-2,CHG-EUAIACT,OBL-EUAIACT-03,CTL-TR-2,CAP-TRACE,High,3,False,1,2,3,1,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-1-EV,CHG-EUAIACT,OBL-EUAIACT-04,CTL-AI-1,CAP-AIG,Medium,0,True,1,2,3,1,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-2,CHG-EUAIACT,OBL-EUAIACT-04,CTL-AI-2,CAP-AIG,Medium,1,False,1,2,3,1,2026-06-25
GAP-OBL-EUAIACT-04-CTL-AI-3,CHG-EUAIACT,OBL-EUAIACT-04,CTL-AI-3,CAP-AIG,Critical,4,False,2,4,3,1,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-1,CHG-EUAIACT,OBL-EUAIACT-05,CTL-MR-1,CAP-MRM,Medium,2,False,1,2,3,2,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-2,CHG-EUAIACT,OBL-EUAIACT-05,CTL-MR-2,CAP-MRM,Low,1,False,2,2,3,2,2026-06-25
GAP-OBL-EUAIACT-05-CTL-MR-3,CHG-EUAIACT,OBL-EUAIACT-05,CTL-MR-3,CAP-MRM,High,3,False,1,2,3,2,2026-06-25
