Remediation_ID,Gap_ID,Change_ID,Capability_ID,Action_Type,Priority,Estimated_Effort_Days,Target_Unit_ID,As_Of
REM-GAP-OBL-EUAIACT-01-CTL-TD-1,GAP-OBL-EUAIACT-01-CTL-TD-1,CHG-EUAIACT,CAP-TDQ,Data,High,70,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-01-CTL-TD-2,GAP-OBL-EUAIACT-01-CTL-TD-2,CHG-EUAIACT,CAP-TDQ,Data,High,70,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-02-CTL-LIN-1,GAP-OBL-EUAIACT-02-CTL-LIN-1,CHG-EUAIACT,CAP-LIN,Data,Medium,70,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-02-CTL-LIN-2,GAP-OBL-EUAIACT-02-CTL-LIN-2,CHG-EUAIACT,CAP-LIN,Data,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-03-CTL-TR-1,GAP-OBL-EUAIACT-03-CTL-TR-1,CHG-EUAIACT,CAP-TRACE,Build,Critical,135,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-03-CTL-TR-2,GAP-OBL-EUAIACT-03-CTL-TR-2,CHG-EUAIACT,CAP-TRACE,Enhance,High,95,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-04-CTL-AI-1-EV,GAP-OBL-EUAIACT-04-CTL-AI-1-EV,CHG-EUAIACT,CAP-AIG,Assurance,Medium,15,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-04-CTL-AI-2,GAP-OBL-EUAIACT-04-CTL-AI-2,CHG-EUAIACT,CAP-AIG,Policy,Medium,45,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-04-CTL-AI-3,GAP-OBL-EUAIACT-04-CTL-AI-3,CHG-EUAIACT,CAP-AIG,Policy,Critical,135,BU-DATA,2026-06-25
REM-GAP-OBL-EUAIACT-05-CTL-MR-1,GAP-OBL-EUAIACT-05-CTL-MR-1,CHG-EUAIACT,CAP-MRM,Enhance,Medium,70,BU-RISK,2026-06-25
REM-GAP-OBL-EUAIACT-05-CTL-MR-2,GAP-OBL-EUAIACT-05-CTL-MR-2,CHG-EUAIACT,CAP-MRM,Enhance,Low,45,BU-RISK,2026-06-25
REM-GAP-OBL-EUAIACT-05-CTL-MR-3,GAP-OBL-EUAIACT-05-CTL-MR-3,CHG-EUAIACT,CAP-MRM,Enhance,High,95,BU-RISK,2026-06-25
REM-GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,GAP-OBL-NISTAIRMF-01-CTL-AI-1-EV,CHG-NISTAIRMF,CAP-AIG,Assurance,Low,15,BU-DATA,2026-06-25
REM-GAP-OBL-NISTAIRMF-01-CTL-AI-2,GAP-OBL-NISTAIRMF-01-CTL-AI-2,CHG-NISTAIRMF,CAP-AIG,Policy,Low,45,BU-DATA,2026-06-25
REM-GAP-OBL-NISTAIRMF-01-CTL-AI-3,GAP-OBL-NISTAIRMF-01-CTL-AI-3,CHG-NISTAIRMF,CAP-AIG,Policy,Critical,135,BU-DATA,2026-06-25
REM-GAP-OBL-NISTAIRMF-02-CTL-MR-1,GAP-OBL-NISTAIRMF-02-CTL-MR-1,CHG-NISTAIRMF,CAP-MRM,Enhance,Medium,70,BU-RISK,2026-06-25
