Source_ID,Source_Type,Target_ID,Target_Type,Rel_Type,Weight,As_Of
CAP-DG,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-DG,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-LIN,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-LIN,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-DQ,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-DQ,Capability,TEC-INFORMATICA,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-MDM,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-MDM,Capability,TEC-COLLIBRA,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-PII,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-PII,Capability,TEC-DEFENDER,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-RET,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-RET,Capability,TEC-POLICY,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AC,Capability,TEC-ENTRA,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AUD,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AUD,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-REP,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-MRM,Capability,TEC-FOUNDRY,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-MRM,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AIG,Capability,TEC-FOUNDRY,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AIG,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-TDQ,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-TDQ,Capability,TEC-FOUNDRY,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-TRACE,Capability,TEC-FOUNDRY,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-TRACE,Capability,TEC-PURVIEW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-RES,Capability,TEC-SERVICENOW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-RES,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-INC,Capability,TEC-SERVICENOW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-INC,Capability,TEC-DEFENDER,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-TPR,Capability,TEC-SERVICENOW,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-CYBER,Capability,TEC-DEFENDER,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-CYBER,Capability,TEC-ENTRA,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-FC,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-SANCT,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-AUTH,Capability,TEC-ENTRA,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-CAPITAL,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
CAP-COND,Capability,TEC-FABRIC,Technology,CAPABILITY_ENABLED_BY_TECHNOLOGY,1.0,2026-06-25
SYS-CORE,System,DD-ACCT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CORE,System,DD-TXN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-CORE,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-KYC,System,DD-KYC,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-KYC,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-SANCT,System,DD-CUSTPII,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-SANCT,System,DD-PAYMT,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
SYS-TM,System,DD-TXN,DataDomain,SYSTEM_STORES_DATA_DOMAIN,1.0,2026-06-25
