ID,Name,Category,Inherent_Rating,As_Of
RK-FINCRIME,Financial Crime / AML,Compliance,Critical,2026-06-25
RK-OPRES,Operational Resilience,Operational,High,2026-06-25
RK-CYBER,Cyber & ICT,Technology,Critical,2026-06-25
RK-CREDIT,Credit Risk,Financial,High,2026-06-25
RK-MARKET,Market Risk,Financial,High,2026-06-25
RK-PRIV,Data Privacy,Compliance,High,2026-06-25
RK-CONDUCT,Conduct Risk,Compliance,High,2026-06-25
RK-REPORT,Regulatory Reporting,Compliance,High,2026-06-25
RK-TPR,Third-Party Risk,Operational,High,2026-06-25
RK-MODEL,Model / AI Risk,Compliance,High,2026-06-25
